Вменяют тарелкам
Живые киноартисты
Минутный порыв
Объясняю Зине
Порвали парус
Служение стихиям
Утечку энергии
весьма неприличное
грамм свинца
двум полюсам
дебатах Вменяют
женским полом
легких небесных
небесных доспехах
невелика потеря
ожидаем фарта
освещу сполна
отбойный молоток
пирата морей
потолок трепещет
слать позывные
спусковом крючке
уезжай Насовсем
шуткам отношусь
Светят фонари
Черное надежное
боков прожектора
бритвой Восходящие
красные флажков
сапер ошибается
сколото Черное
частный собственник
Возьмите Алису
Джон Ланкастер
Оттого морякам
Очкастый частный
бешено кружа
братских могилах
горячих лучах
гражданский флот
корточки Приседал
кровная месть
милицейской шкуре
охотно Помогу
очереди первыe
подводная лодка
попались привередливые
порогам приведет
приглашали кавалеров
уступлю хромосомы
шумного бала
Бонапарт Переходил
Кричат загонщики
деревянные костюмы
диспуты ведем
месть городам
нарушать неохота
острой бритвой
охотников носите
полкам Чья
стриженой траве
шлю депеши
Благословенны вечные
Кабы красна
Клим Ворошилов
Серебряными струнами
Черт побери
бокалы сближай
вечная тюрьма
вину Утечку
водная гладь
встречаем рассветы
пожухла трава
порвите серебряные
сады сторожат
семью Серебряными
соблюдалось чувство
спрашивайте напрямик
средь шумного
вернутся пустыми
выпадает карта
подвиг совершил
четверка первачей
Большом Каретном
Дальний Восток
Кончай дурить
Нагайскую бухту
Обожаем кабанов
Секунда паузы
Этим товарам
бережно держа
былое уходит
ведет меридиан
внешне спокоен
вспомнился стих
каким порогам
мечет Брэк
молодой жульман
полюсам ведет
привыкать Засыпать
славных парней
тюрьме Таганской
черное крыло
эры соблюдалось
Ходят слухи
Эту вечную
вечную дань
вне закона
дамы приглашали
куплет допою
лихо ездил
судне бунт
Благословен Великий
Двум невесткам
Наматываю мили
Ночью диспуты
дворе вечерит
Переходил границу
Сережку Фомина
Тау Кита
Чинарик выплюнул
Эта самая
вопросы освещу
всякой всячины
молча допить
первыe стояли
подставиться рискнули
постарайся вернуться
случаи летают
чудеса неземные
Мяч затаился
Холодной острой
назавтра вставать
новые танцы
городской прокуратуре
намного шире
нечистая сила
плохом автомобиле
